"jurisdiction","week_of_allocations","total_first_doses","total_second_doses"
"Idaho","2021-04-12T00:00:00.000","23400","23400"
"Illinois","2021-04-12T00:00:00.000","139230","139230"
"Indiana","2021-04-12T00:00:00.000","91260","91260"
"Iowa","2021-04-12T00:00:00.000","43290","43290"
"Kansas","2021-04-12T00:00:00.000","39780","39780"
"Kentucky","2021-04-12T00:00:00.000","62010","62010"
"Louisiana","2021-04-12T00:00:00.000","64350","64350"
"Maine","2021-04-12T00:00:00.000","19890","19890"
"Mariana Islands","2021-04-12T00:00:00.000","0","0"
"Marshall Islands","2021-04-12T00:00:00.000","0","0"
"Maryland","2021-04-12T00:00:00.000","83070","83070"
"Massachusetts","2021-04-12T00:00:00.000","97110","97110"
"Michigan","2021-04-12T00:00:00.000","139230","139230"
"Micronesia","2021-04-12T00:00:00.000","0","0"
"Minnesota","2021-04-12T00:00:00.000","76050","76050"
"Mississippi","2021-04-12T00:00:00.000","40950","40950"
"Missouri","2021-04-12T00:00:00.000","84240","84240"
"Montana","2021-04-12T00:00:00.000","15210","15210"
"Nebraska","2021-04-12T00:00:00.000","26910","26910"
"Nevada","2021-04-12T00:00:00.000","40950","40950"
"New Hampshire","2021-04-12T00:00:00.000","19890","19890"
"New Jersey","2021-04-12T00:00:00.000","124020","124020"
"New Mexico","2021-04-12T00:00:00.000","29250","29250"
"New York","2021-04-12T00:00:00.000","156780","156780"
"New York City","2021-04-12T00:00:00.000","119340","119340"
"North Carolina","2021-04-12T00:00:00.000","140400","140400"
"North Dakota","2021-04-12T00:00:00.000","10530","10530"
"Ohio","2021-04-12T00:00:00.000","161460","161460"
"Oklahoma","2021-04-12T00:00:00.000","53820","53820"
"Oregon","2021-04-12T00:00:00.000","58500","58500"
"Palau","2021-04-12T00:00:00.000","0","0"
"Pennsylvania","2021-04-12T00:00:00.000","159120","159120"
"Philadelphia","2021-04-12T00:00:00.000","22230","22230"
"Puerto Rico","2021-04-12T00:00:00.000","49140","49140"
"Rhode Island","2021-04-12T00:00:00.000","15210","15210"
"South Carolina","2021-04-12T00:00:00.000","69030","69030"
"South Dakota","2021-04-12T00:00:00.000","11700","11700"
"Tennessee","2021-04-12T00:00:00.000","92430","92430"
"Texas","2021-04-12T00:00:00.000","367380","367380"
"U.S. Virgin Islands","2021-04-12T00:00:00.000","2340","2340"
"Utah","2021-04-12T00:00:00.000","38610","38610"
"Vermont","2021-04-12T00:00:00.000","9360","9360"
"Virginia","2021-04-12T00:00:00.000","117000","117000"
"Washington","2021-04-12T00:00:00.000","102960","102960"
"West Virginia","2021-04-12T00:00:00.000","26910","26910"
"Wisconsin","2021-04-12T00:00:00.000","80730","80730"
"Wyoming","2021-04-12T00:00:00.000","8190","8190"
"Alabama","2021-04-19T00:00:00.000","72540","72540"
"Alaska","2021-04-19T00:00:00.000","0","0"
"American Samoa","2021-04-19T00:00:00.000","0","0"
"Arizona","2021-04-19T00:00:00.000","102960","102960"
"Arkansas","2021-04-19T00:00:00.000","44460","44460"
"California","2021-04-19T00:00:00.000","575640","575640"
"Chicago","2021-04-19T00:00:00.000","40950","40950"
"Colorado","2021-04-19T00:00:00.000","81900","81900"
"Connecticut","2021-04-19T00:00:00.000","54990","54990"
"Delaware","2021-04-19T00:00:00.000","15210","15210"
"District of Columbia","2021-04-19T00:00:00.000","11700","11700"
"Federal Entities","2021-04-19T00:00:00.000","203580","203580"
"Florida","2021-04-19T00:00:00.000","314730","314730"
"Georgia","2021-04-19T00:00:00.000","149760","149760"
"Guam","2021-04-19T00:00:00.000","0","0"
"Hawaii","2021-04-19T00:00:00.000","22230","22230"
"Idaho","2021-04-19T00:00:00.000","24570","24570"
"Illinois","2021-04-19T00:00:00.000","149760","149760"
"Indiana","2021-04-19T00:00:00.000","97110","97110"
"Iowa","2021-04-19T00:00:00.000","46800","46800"
"Kansas","2021-04-19T00:00:00.000","42120","42120"
"Kentucky","2021-04-19T00:00:00.000","66690","66690"
"Louisiana","2021-04-19T00:00:00.000","69030","69030"
"Maine","2021-04-19T00:00:00.000","21060","21060"
"Mariana Islands","2021-04-19T00:00:00.000","0","0"
"Marshall Islands","2021-04-19T00:00:00.000","0","0"
"Maryland","2021-04-19T00:00:00.000","90090","90090"
"Massachusetts","2021-04-19T00:00:00.000","105300","105300"
"Michigan","2021-04-19T00:00:00.000","148590","148590"
"Micronesia","2021-04-19T00:00:00.000","0","0"
"Minnesota","2021-04-19T00:00:00.000","81900","81900"
"Mississippi","2021-04-19T00:00:00.000","44460","44460"
"Missouri","2021-04-19T00:00:00.000","90090","90090"
"Montana","2021-04-19T00:00:00.000","16380","16380"
