"country_name","month","deaths_on_last_day"
"Paraguay","2020-09","841.0"
"Peru","2020-05","4371.0"
"Peru","2020-06","9504.0"
"Peru","2020-07","19021.0"
"Peru","2020-08","28788.0"
"Peru","2020-09","32396.0"
"Philippines","2020-05","950.0"
"Philippines","2020-06","1255.0"
"Philippines","2020-07","1983.0"
"Philippines","2020-08","3520.0"
"Philippines","2020-09","5448.0"
"Poland","2020-05","1061.0"
"Poland","2020-06","1444.0"
"Poland","2020-07","1709.0"
"Poland","2020-08","2033.0"
"Poland","2020-09","2483.0"
"Portugal","2020-05","1396.0"
"Portugal","2020-06","1568.0"
"Portugal","2020-07","1727.0"
"Portugal","2020-08","1819.0"
"Portugal","2020-09","1963.0"
"Puerto Rico","2020-05","133.0"
"Puerto Rico","2020-06","153.0"
"Puerto Rico","2020-07","214.0"
"Puerto Rico","2020-08","434.0"
"Puerto Rico","2020-09","654.0"
"Qatar","2020-05","36.0"
"Qatar","2020-06","113.0"
"Qatar","2020-07","171.0"
"Qatar","2020-08","197.0"
"Qatar","2020-09","214.0"
"Romania","2020-05","1253.0"
"Romania","2020-06","1634.0"
"Romania","2020-07","2304.0"
"Romania","2020-08","3578.0"
"Romania","2020-09","4792.0"
"Russia","2020-05","4555.0"
"Russia","2020-06","9166.0"
"Russia","2020-07","13802.0"
"Russia","2020-08","17093.0"
"Russia","2020-09","20545.0"
"Rwanda","2020-05","1.0"
"Rwanda","2020-06","2.0"
"Rwanda","2020-07","5.0"
"Rwanda","2020-08","16.0"
"Rwanda","2020-09","29.0"
"Saint Kitts and Nevis","2020-05","0.0"
"Saint Kitts and Nevis","2020-06","0.0"
"Saint Kitts and Nevis","2020-07","0.0"
"Saint Kitts and Nevis","2020-08","0.0"
"Saint Kitts and Nevis","2020-09","0.0"
"Saint Lucia","2020-05","0.0"
"Saint Lucia","2020-06","0.0"
"Saint Lucia","2020-07","0.0"
"Saint Lucia","2020-08","0.0"
"Saint Lucia","2020-09","0.0"
"Saint Vincent and the Grenadines","2020-05","0.0"
"Saint Vincent and the Grenadines","2020-06","0.0"
"Saint Vincent and the Grenadines","2020-07","0.0"
"Saint Vincent and the Grenadines","2020-08","0.0"
"Saint Vincent and the Grenadines","2020-09","0.0"
